Running time,XEntropy,Test performance,Best Validation score,Max epochs,N epochs,Activation function +AC0- hidden,Activation function +AC0- highway,L2+AF8-reg parameter,L1+AF8-reg parameter,Batch size,Iterations,Hidden neurons per layer,Hidden Layers,Highway Layers,Leaning rate,Rho,Patience    ,b+AF8-T
3.252217265,0.7846420837,14.44,13.64,50,50,+ADw-function relu at 0x7fc72a25fa28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,100,16500,50,1,9,0.1,0.5,164990,+AC0-5
3.2880704324,2.1785577843,30.97,29.77,50,50,+ADw-function relu at 0x7fc72a25fa28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,100,5000,50,1,9,0.1,0.9,49990,+AC0-5
2.6219851653,5.277146874,89.72,89.1,50,40,+ADw-function relu at 0x7fc72a25fa28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,100,2000,50,1,9,0.1,0.99,19990,+AC0-5
3.236629947,0.3935968498,8.35,7.74,50,50,+ADw-function relu at 0x7fc72a25fa28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,100,24500,50,1,9,0.05,0.5,244990,+AC0-5
3.264339153,0.4339787552,10.66,10.03,50,50,+ADw-function relu at 0x7fc72a25fa28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,100,22500,50,1,9,0.05,0.9,224990,+AC0-5
3.2657562017,0.6954106552,14.76,14.14,50,50,+ADw-function relu at 0x7fc72a25fa28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,100,21500,50,1,9,0.05,0.99,214990,+AC0-5
3.2683910132,0.1175021257,3.77,3.49,50,50,+ADw-function relu at 0x7fc72a25fa28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,100,17500,50,1,9,0.01,0.5,174990,+AC0-5
3.2246973674,0.0784837602,3.66,3.55,50,50,+ADw-function relu at 0x7fc72a25fa28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,100,18000,50,1,9,0.01,0.9,179990,+AC0-5
3.2692449689,0.1026876366,4.2,3.81,50,50,+ADw-function relu at 0x7fc72a25fa28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,100,22000,50,1,9,0.01,0.99,219990,+AC0-5
3.2738367319,0.0618365136,3.32,3.23,50,50,+ADw-function relu at 0x7fc72a25fa28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,100,11500,50,1,9,0.005,0.5,114990,+AC0-5
3.2721386671,0.0328525699,3.3,3.06,50,50,+ADw-function relu at 0x7fc72a25fa28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,100,20500,50,1,9,0.005,0.9,204990,+AC0-5
3.2453290661,0.0367772383,3.7,3.16,50,50,+ADw-function relu at 0x7fc72a25fa28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,100,24500,50,1,9,0.005,0.99,219990,+AC0-5
1.5153169354,0.6019201474,12.9,12.06,50,50,+ADw-function relu at 0x7fc72a25fa28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,250,9400,50,1,9,0.1,0.5,93990,+AC0-5
1.555453217,0.7979225782,17,16.35,50,50,+ADw-function relu at 0x7fc72a25fa28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,250,10000,50,1,9,0.1,0.9,99990,+AC0-5
1.5393493493,4.1866079438,66.07,66.56,50,50,+ADw-function relu at 0x7fc72a25fa28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,250,4800,50,1,9,0.1,0.99,47990,+AC0-5
1.5819921176,0.3063038787,7.29,6.55,50,50,+ADw-function relu at 0x7fc72a25fa28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,250,9200,50,1,9,0.05,0.5,91990,+AC0-5
1.5656178673,0.3260715603,8.35,7.83,50,50,+ADw-function relu at 0x7fc72a25fa28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,250,6400,50,1,9,0.05,0.9,63990,+AC0-5
2.0620651007,0.4833171161,13.34,12.12,50,50,+ADw-function relu at 0x7fc72a25fa28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,250,5000,50,1,9,0.05,0.99,49990,+AC0-5
2.0719087998,0.0648684186,3.65,3.21,50,50,+ADw-function relu at 0x7fc72a25fa28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,250,6600,50,1,9,0.01,0.5,65990,+AC0-5
2.0677185337,0.0466348734,3.29,3.21,50,50,+ADw-function relu at 0x7fc72a25fa28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,250,9200,50,1,9,0.01,0.9,91990,+AC0-5
2.0586772362,0.0485257587,4.39,3.7,50,50,+ADw-function relu at 0x7fc72a25fa28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,250,3800,50,1,9,0.01,0.99,37990,+AC0-5
2.0443982363,0.0228833908,3.2,3.01,50,50,+ADw-function relu at 0x7fc72a25fa28+AD4-,+ACI-+ACIAIg-Elemwise+AHs-tanh,no+AF8-inplace+AH0AIgAi-+ACI-,0,0,250,6200,50,1,9,0.005,0.5,61990,+AC0-5
