,Running time,XEntropy,Test performance,Best Validation score,Max epochs,N epochs,Activation function - hidden,Activation function - highway,L2_reg parameter,L1_reg parameter,Batch size,Iterations,Hidden neurons per layer,Hidden Layers,Highway Layers,Learning rate,lr_decay,momentum,Patience,b_T
60,6.77814845244,0.000683122191476,0.0,inf,50,50,<function relu at 0x7f413b20fa28>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,49,0.3,0.98,0.5,10000,-4
73,11.9358565807,0.000788348293485,0.0,inf,50,50,<function relu at 0x7fdf8e23da28>,<function relu at 0x7fdf8e23da28>,0,0,20,1,50,1,49,0.1,0.97,0.85,10000,-4
79,11.9786543171,0.00133108508767,0.0,inf,50,50,<function relu at 0x7fdf8e23da28>,<function relu at 0x7fdf8e23da28>,0,0,20,1,50,1,49,0.1,0.99,0.95,10000,-4
92,8.12739179929,0.00147780845093,0.0,inf,50,50,<function relu at 0x7fdf8e23da28>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,49,0.1,0.97,0.85,10000,-4
90,7.82765951951,0.00150941551675,0.0,inf,50,50,<function relu at 0x7fdf8e23da28>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,49,0.1,0.97,0.95,10000,-4
94,8.10443565051,0.00153616897011,0.0,inf,50,50,<function relu at 0x7fdf8e23da28>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,49,0.1,0.97,0.95,10000,-4
75,11.8427839637,0.00154811869038,0.0,inf,50,50,<function relu at 0x7fdf8e23da28>,<function relu at 0x7fdf8e23da28>,0,0,20,1,50,1,49,0.1,0.99,0.85,10000,-2
67,13.3544188817,0.0015934340324,0.0,inf,50,50,<function relu at 0x7fdf8e23da28>,<function relu at 0x7fdf8e23da28>,0,0,20,1,50,1,49,0.1,0.99,0.85,10000,-2
51,6.80370481809,0.00166215179843,0.0,inf,50,50,<function relu at 0x7f413b20fa28>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,49,0.2,0.99,0.8,10000,-2
88,7.97219048341,0.00192865266453,0.0,inf,50,50,<function relu at 0x7fdf8e23da28>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,49,0.1,0.97,0.85,10000,-2
93,8.13940526644,0.0023691388921,0.0,inf,50,50,<function relu at 0x7fdf8e23da28>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,49,0.1,0.99,0.85,10000,-2
95,8.14456886848,0.00237916038663,0.0,inf,50,50,<function relu at 0x7fdf8e23da28>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,49,0.1,0.99,0.95,10000,-2
89,8.08889205058,0.00256519876432,0.0,inf,50,50,<function relu at 0x7fdf8e23da28>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,49,0.1,0.99,0.85,10000,-4
91,7.95456913312,0.00262110872834,0.0,inf,50,50,<function relu at 0x7fdf8e23da28>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,49,0.1,0.99,0.95,10000,-4
86,8.02695560058,0.00374812033551,0.0,inf,50,50,<function relu at 0x7fdf8e23da28>,<function relu at 0x7fdf8e23da28>,0,0,20,1,50,1,49,0.05,0.97,0.95,10000,-4
82,8.4076537172,0.00418112540129,0.0,inf,50,50,<function relu at 0x7fdf8e23da28>,<function relu at 0x7fdf8e23da28>,0,0,20,1,50,1,49,0.05,0.97,0.95,10000,-4
100,8.04238863389,0.00421262645372,0.0,inf,50,50,<function relu at 0x7fdf8e23da28>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,49,0.05,0.97,0.85,10000,-4
102,7.6778783838,0.00427860747534,0.0,inf,50,50,<function relu at 0x7fdf8e23da28>,"Elemwise{tanh,no_inplace}",0,0,20,1,50,1,49,0.05,0.97,0.95,10000,-4
84,8.45777813594,0.00429504213401,0.0,inf,50,50,<function relu at 0x7fdf8e23da28>,<function relu at 0x7fdf8e23da28>,0,0,20,1,50,1,49,0.05,0.97,0.85,10000,-2
